company_name,job_role,applied_date,website,status,created_at,notes
Neal-Sims,Deep Learning Engineer,01-03-2025,AngelList,Applied,23-06-2025 03:22,Middle four lose bit ever scene.
James Inc,ML Engineer,23-02-2025,Internshala,Followed-Up,22-06-2025 21:52,Human rule too position sound skin one.
Bush PLC,AI Engineer,14-03-2025,Naukri,Interview,17-02-2025 20:06,Break deep idea its person third catch factor.
"Padilla, Price and Smith",NLP Engineer,03-07-2025,AngelList,Rejected,20-05-2025 19:03,Thousand yeah must business our carry painting.
Brown Inc,Computer Vision Engineer,18-07-2025,Other,Followed-Up,15-04-2025 08:28,Their sea attention involve involve tough opportunity truth beat.
"Allen, Peters and Ryan",Business Analyst,14-07-2025,Hirect,Applied,23-03-2025 04:18,Loss most wife lose similar even.
"Goodwin, Perez and Garcia",Deep Learning Engineer,04-05-2025,AngelList,Other,23-02-2025 22:12,Part it guy enough administration blue fact.
Black and Sons,AI Engineer,15-02-2025,Indeed,Applied,31-03-2025 08:00,Fine ahead student total attack military drop tonight plant raise.
Watts and Sons,AI Engineer,07-05-2025,Company Website,Rejected,13-02-2025 21:14,Onto team agent compare growth have office whether wait executive as remain.
"Garcia, Carey and Fields",Computer Vision Engineer,15-03-2025,Naukri,Applied,25-02-2025 01:07,Catch know should standard official so.
Mathis PLC,ML Engineer,03-03-2025,Company Website,Offer,19-06-2025 20:23,Bill perform share leader why society risk election window activity mind share late.
"Rowe, Sellers and Singh",Computer Vision Engineer,01-04-2025,Other,Offer,21-05-2025 18:33,Recognize share might listen company resource about factor mother partner eight.
Harvey LLC,Research Scientist,04-08-2025,LinkedIn,Rejected,30-06-2025 12:32,Everything yet management certain information unit.
Gonzalez Group,Computer Vision Engineer,22-04-2025,LinkedIn,Other,05-04-2025 21:03,Man job improve under election step true north interesting space.
Carlson and Sons,ML Engineer,17-07-2025,AngelList,Interview,24-03-2025 19:08,People skin practice purpose occur community be bank day back.
Johnson Inc,Research Scientist,30-06-2025,Company Website,Interview,03-05-2025 06:06,My medical believe lose how newspaper air situation evening serve phone.
"Arnold, Nelson and Wright",ML Engineer,15-07-2025,AngelList,Other,01-08-2025 00:50,Focus pay usually power three deep especially money along stand change member book.
Jones Inc,Data Scientist,08-03-2025,Naukri,Rejected,17-04-2025 00:54,Common political modern large campaign again society pretty husband.
Flores and Sons,Computer Vision Engineer,13-07-2025,AngelList,Interview,30-06-2025 16:56,Fall state nearly direction attorney between cup during public once enough you.
"Middleton, Morales and Graham",NLP Engineer,20-02-2025,LinkedIn,Followed-Up,04-03-2025 02:38,Edge experience front power suddenly product goal.
"Long, Rivas and Smith",Data Scientist,08-07-2025,Indeed,Offer,05-02-2025 15:36,Exactly partner her evening major effort fact beyond war no interest through rock.
Franklin Inc,Data Analyst,16-04-2025,Hirect,Interview,12-07-2025 22:26,Skin surface natural ever decide represent behind world few fill tonight court.
"Freeman, Blankenship and Taylor",AI Engineer,17-05-2025,Hirect,Applied,24-06-2025 10:39,Beautiful plan especially result end sing then suffer choice brother face bad.
Jones-Robles,ML Engineer,29-03-2025,Internshala,Followed-Up,29-04-2025 08:09,City night cut garden parent clear mean job teacher.
"Miller, Berry and Strickland",Data Analyst,24-03-2025,Other,Interview,26-05-2025 14:56,Might meeting rate draw minute brother reflect born evidence painting PM.
Martinez and Sons,Business Analyst,02-04-2025,LinkedIn,Interview,04-07-2025 15:53,Leader such in world change none international develop everyone benefit fight.
Wallace-Smith,Deep Learning Engineer,03-05-2025,Indeed,Offer,12-05-2025 13:58,Start including go want one why less do exist skill gun determine adult.
"Hudson, Bell and Wood",Computer Vision Engineer,06-05-2025,LinkedIn,Other,04-02-2025 14:23,Political possible far toward scientist wait evening report or.
Hayes-Mathews,NLP Engineer,06-02-2025,Internshala,Interview,08-04-2025 11:38,Amount send add face suffer according treat water out.
Griffith-Stone,Computer Vision Engineer,17-03-2025,Internshala,Offer,15-03-2025 03:56,Week class person phone grow trip issue read others study student light.
Cervantes PLC,Computer Vision Engineer,09-03-2025,Glassdoor,Other,27-07-2025 10:29,Address now letter even far for particular hundred wind before.
"Gray, Baker and Dean",Business Analyst,10-04-2025,Indeed,Applied,10-06-2025 23:37,Past but drop pay plant again then realize parent last government person.
"Cole, Burgess and Shaw",NLP Engineer,27-04-2025,Company Website,Other,28-07-2025 18:06,Situation movie speech a history company under ok member look.
"Brown, Reed and Holt",Research Scientist,20-02-2025,Internshala,Followed-Up,04-06-2025 03:31,Floor not husband enjoy list economic hospital oil level run.
"Curtis, Cole and Allen",ML Engineer,14-04-2025,LinkedIn,Other,01-07-2025 13:35,Someone value three cause page attack.
"Roberts, Alexander and Holloway",Research Scientist,05-03-2025,AngelList,Other,11-07-2025 16:50,Author bag life bag attack college bit off do return.
"Morris, Monroe and Carroll",NLP Engineer,23-03-2025,Other,Offer,15-05-2025 20:31,Blood rule impact how on type view prove around business seek popular.
"Holland, Good and Cook",Other,28-06-2025,LinkedIn,Followed-Up,22-02-2025 05:42,Professor it market town reflect raise policy party leg education never.
"Joyce, Morris and Bell",ML Engineer,03-06-2025,Company Website,Other,18-04-2025 20:55,Reduce sister role be for structure hear someone age cause a know score.
"Miller, Price and Kelley",Other,07-02-2025,AngelList,Interview,05-07-2025 04:03,Southern against final believe whether threat see tell.
Miller-Silva,AI Engineer,17-04-2025,Other,Followed-Up,03-06-2025 11:59,Science country image at guy poor Democrat central later drop modern.
Watson PLC,Other,13-04-2025,Indeed,Other,05-02-2025 10:36,Carry too none usually use actually war lead strong player another his.
Gomez-Patrick,NLP Engineer,22-07-2025,Hirect,Applied,18-02-2025 21:25,Anyone go everything head determine positive mind whether threat production.
"Russell, Jones and Fernandez",ML Engineer,01-08-2025,Company Website,Followed-Up,18-07-2025 19:33,Little sense vote almost those TV a late dream eight firm.
Bailey-Johnson,Data Scientist,22-02-2025,Naukri,Followed-Up,02-08-2025 16:10,Million next between source real defense wife give experience.
"Lee, Webb and Blackburn",Research Scientist,07-03-2025,Glassdoor,Followed-Up,05-02-2025 06:58,His walk agent network tell day money visit drive dark push.
"Valdez, Washington and Chen",Research Scientist,10-02-2025,Other,Interview,03-04-2025 01:53,Court government hold moment more rock several during social.
"Pacheco, Christensen and Bowman",Computer Vision Engineer,13-04-2025,AngelList,Other,26-05-2025 12:23,Ball still read already smile small myself first decide per wish care local.
Mitchell and Sons,Computer Vision Engineer,06-07-2025,Glassdoor,Rejected,02-05-2025 20:02,Shake week last time before ability group evening war begin.
Hansen-Gordon,Research Scientist,28-03-2025,Other,Other,22-04-2025 06:21,Threat peace than station person far new seat realize my.
Cruz Group,NLP Engineer,30-05-2025,Internshala,Offer,08-07-2025 16:21,Mission according join off public and positive individual why.
Newton LLC,Computer Vision Engineer,21-05-2025,Indeed,Offer,26-03-2025 17:11,Arm probably plan key ever recently former environmental.
"Myers, Thomas and Reed",Data Analyst,23-05-2025,AngelList,Followed-Up,23-04-2025 21:41,Run painting meeting young thought nature notice not commercial.
"Flynn, Smith and Bradford",AI Engineer,10-07-2025,Hirect,Other,09-02-2025 05:32,Actually film rise report decision hotel.
Vazquez LLC,Data Analyst,04-05-2025,Glassdoor,Rejected,13-06-2025 03:07,Throughout name various key law participant tonight.
Bond-West,Other,25-02-2025,Internshala,Other,05-04-2025 13:15,Share street role interest agency a five ground summer blue leave forward.
Turner LLC,Computer Vision Engineer,22-03-2025,Company Website,Interview,20-03-2025 01:06,Marriage worry stuff feel coach simple figure picture music.
"Stewart, Barnett and Coleman",Data Scientist,03-08-2025,AngelList,Rejected,03-05-2025 06:41,Character able send tonight treat top form hard.
Lopez-Cruz,Research Scientist,23-07-2025,Naukri,Applied,15-05-2025 22:48,Ahead nearly performance body become should his word little suddenly scene.
Ortega Group,Data Scientist,23-02-2025,Company Website,Applied,03-05-2025 09:04,Material right cup gas kitchen cause morning player force sort street everyone role.
"Bullock, Church and Miller",Business Analyst,23-05-2025,Hirect,Interview,20-04-2025 11:15,Church speech behind also buy rise direction move this floor number.
"Long, Hensley and Wilcox",NLP Engineer,02-08-2025,Internshala,Applied,02-04-2025 21:40,Commercial specific here already figure over behavior others though decide economic.
Vega-Sanders,Research Scientist,24-02-2025,Naukri,Followed-Up,27-04-2025 02:37,Baby yourself success knowledge vote thus time.
"Ingram, Rowe and Wilson",AI Engineer,24-02-2025,AngelList,Offer,26-02-2025 00:21,Young top maybe whatever huge enjoy success brother.
"Walton, Chandler and Prince",Computer Vision Engineer,01-06-2025,Glassdoor,Followed-Up,14-02-2025 12:58,Eye past sit form sometimes middle talk expert suffer she notice computer.
Jordan-Tucker,Deep Learning Engineer,22-06-2025,Naukri,Interview,24-06-2025 05:19,Thank goal start democratic open pretty long this pressure gas skill.
Villa and Sons,Data Analyst,25-04-2025,Internshala,Rejected,22-02-2025 21:52,Myself certain late cut consumer around experience thus coach although.
Smith-Johnson,Business Analyst,02-07-2025,LinkedIn,Applied,23-07-2025 23:08,Minute past time church few senior best similar statement owner nothing not.
"Kim, Moore and Walker",Research Scientist,04-05-2025,Glassdoor,Followed-Up,01-06-2025 22:23,Find she under past tree claim east.
Bell LLC,Data Analyst,13-07-2025,Naukri,Applied,07-04-2025 00:59,Science a must garden picture its believe.
"Arnold, Ramos and Salas",Research Scientist,23-06-2025,Indeed,Other,24-02-2025 10:18,Else third author record recognize none dinner view.
Campbell-Estrada,ML Engineer,27-03-2025,Internshala,Followed-Up,20-02-2025 21:01,Institution wear environment pull interest interview morning run public owner project.
Hahn Ltd,Other,17-05-2025,Naukri,Followed-Up,29-04-2025 14:13,Material occur cut employee TV individual.
Hayes Inc,Other,16-04-2025,Indeed,Followed-Up,18-02-2025 08:32,Pretty medical sister bar appear even.
Hernandez Ltd,AI Engineer,21-05-2025,Glassdoor,Followed-Up,15-04-2025 13:07,Dream close democratic first official process.
"Marquez, Robertson and Castro",Deep Learning Engineer,26-02-2025,Other,Interview,06-06-2025 21:47,Finish coach bag religious upon cold summer order fear up.
Morales PLC,Other,07-05-2025,AngelList,Interview,03-03-2025 03:11,Fact near person much her mouth recently.
Powers-Harris,Computer Vision Engineer,07-07-2025,LinkedIn,Offer,19-06-2025 03:06,Consider national sing usually nothing task the.
Dominguez-Andrews,Other,31-05-2025,AngelList,Offer,20-05-2025 15:17,The tell conference free movement of.
"Jones, Scott and Day",AI Engineer,04-03-2025,Hirect,Applied,17-07-2025 22:55,Easy former order air professional structure doctor education candidate number home.
Horton-Proctor,Data Analyst,12-07-2025,AngelList,Followed-Up,25-06-2025 07:33,Dark station check design sort onto job toward strategy pay.
"Oliver, Young and Morris",ML Engineer,22-03-2025,Naukri,Interview,25-04-2025 08:55,Onto give over number player environmental health after item data food.
Mcdonald Group,Other,11-03-2025,Indeed,Rejected,09-02-2025 04:08,Reduce save low drop because management yard task present southern training much.
Valenzuela-Cummings,Research Scientist,22-07-2025,Naukri,Other,25-03-2025 20:44,Enjoy over color hold husband around especially.
Phillips-Stanley,Business Analyst,02-06-2025,Glassdoor,Offer,16-07-2025 02:21,Out whom position officer action also this individual whatever industry fly store born.
"Baker, Alvarado and George",Data Analyst,24-07-2025,Hirect,Followed-Up,07-07-2025 15:38,Because ask president bad president window arrive herself pass seven someone.
"Hall, Dougherty and Greene",Research Scientist,17-06-2025,Internshala,Rejected,04-07-2025 16:42,Week might write cut despite away couple think scene whether people.
Ferguson and Sons,Deep Learning Engineer,05-06-2025,LinkedIn,Other,22-03-2025 17:46,Top arrive finally later doctor across take.
"Sims, Brown and Frank",Data Analyst,19-04-2025,Other,Offer,08-04-2025 16:59,Dog debate year material own provide fall both toward very because material road.
Austin Ltd,AI Engineer,10-05-2025,Internshala,Other,24-07-2025 07:23,Similar school black article trip number pressure staff rather remember once.
Kline Inc,Data Analyst,02-05-2025,Glassdoor,Applied,10-03-2025 14:19,Week various heart pattern direction industry wear energy control debate.
Grant-Gray,Research Scientist,23-05-2025,AngelList,Applied,04-05-2025 01:30,Stop history with last would feel mean knowledge cultural scene school.
Davis-Garcia,Other,05-05-2025,Hirect,Followed-Up,23-07-2025 04:40,Cost street indicate live should big give air term sea.
Ramos LLC,Research Scientist,09-03-2025,Internshala,Interview,14-05-2025 22:39,See through box month marriage five successful know.
Johnson-Adkins,AI Engineer,14-05-2025,Hirect,Followed-Up,05-02-2025 01:01,Nice add long them factor garden really stand wait around guy far.
Brown Inc,Computer Vision Engineer,14-05-2025,LinkedIn,Rejected,08-03-2025 07:07,Court avoid must head fill necessary.
Mejia-Murphy,Other,21-06-2025,Hirect,Offer,28-04-2025 19:55,Floor social design owner election long say help.
Harvey-Wheeler,Research Scientist,12-03-2025,Naukri,Followed-Up,23-05-2025 00:10,Hit trial born star visit nor.
Glover Group,NLP Engineer,01-08-2025,Internshala,Interview,24-06-2025 01:50,Argue different fall wall environmental region each ball college quite their.
"Cole, Jensen and Lewis",NLP Engineer,01-05-2025,Company Website,Offer,27-05-2025 19:07,Suffer compare sister paper glass near environmental hand Republican foot rather although.
"Google, washington DC      ",Data Analyst,01-07-2025,LinkedIn,Rejected,01-07-2025 10:15,Received recruiter response within 2 days
Amazon,Machine Learning Engineer,03-07-2025,Company Website,Rejected,03-07-2025 14:32,Did not pass initial screening
Microsoft,Data Scientist,05-07-2025,Naukri,Rejected,05-07-2025 09:45,Shortlisted for technical round
"Infosys, kerala",Junior Data Scientist,07-07-2025,LinkedIn,Rejected,07-07-2025 18:12,Application was not considered further
"TCS, london",AI Engineer,10-07-2025,Company Website,Rejected,10-07-2025 11:25,HR scheduled online assessment
Capgemini,Data Engineer,12-07-2025,Indeed,Rejected,12-07-2025 15:08,Automated rejection email received
"Wipro, delhi",Business Analyst,14-07-2025,LinkedIn,Rejected,14-07-2025 09:59,Awaiting feedback from panel
Accenture,Associate Data Scientist,16-07-2025,Company Website,Rejected,16-07-2025 17:42,Did not clear coding round
Cognizant,ML Engineer Intern,18-07-2025,Naukri,Rejected,18-07-2025 12:20,Invited for HR discussion
HCL,Data Analyst,20-07-2025,LinkedIn,Rejected,20-07-2025 16:35,Position closed before final round
"Freshworks, Chennai",Data Engineer,22-07-2025,Company Website,Interview,22-07-2025 11:05,Called for technical interview
"Razorpay, Bangalore",AI Research Intern,24-07-2025,LinkedIn,Rejected,24-07-2025 13:27,Role filled before my application review
"Mindtree, Noida",Data Scientist,26-07-2025,Indeed,Interview,26-07-2025 10:55,Completed first technical round
"Zerodha, Bangalore",Machine Learning Engineer,28-07-2025,Naukri,Rejected,28-07-2025 15:44,Rejection mail received after HR screening
"InMobi, Gurgaon",Junior Data Analyst,30-07-2025,Company Website,Interview,30-07-2025 09:39,Waiting for second round update
